order,family,genus,species,model,pop_den_estimate,pop_den_se,pop_den_tval,pop_den_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,duration,-8.331927382086742e-4,0.00335094520754915,-0.24864409490540837,0.8037727231094116,0.21628916895369565,0.23951033318737283,2.2177692950914318e-4,386,0.2634056791168493,0.0981655221827264,2.056683888380576
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,onset,0.00804037213968548,0.00310903637259139,2.5861299695840514,0.010086293769278169,0.19943881361408566,0.22847874082419797,0.013737533849022737,386,0.8994675478891693,0.01653264549703043,0
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,offset,0.007490492086918879,0.0015710979995237331,4.767679730474844,2.659199348635498e-6,0.14472723432917578,0.15583906802367195,0.03678765952413539,386,0.9999877498533936,0.3315874021644289,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,duration,0.006787584704413923,0.003460882851041066,1.9612292575497474,0.05079268083945761,0.09806221195968079,0.12183912459769923,0.014871092942008196,304,0.6888991924432734,0.5076569398151944,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,onset,-8.145380634684457e-4,0.0033499645243350177,-0.24314826546712015,0.808059850620202,0.035181414716750736,0.06245833374121535,4.124670040059619e-4,304,0.2616803066355132,0.18357422718937616,2.07450672923369
Hymenoptera,Apidae,Bombus,Bombus impatiens,offset,0.006050516423887413,0.0020570200643455225,2.941398836482663,0.003523644015831769,0.13502498178857114,0.14953818863490156,0.02158931258249977,304,0.9759816571396377,0.07457863830745187,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,duration,0.013539803062895142,0.004209698961071621,3.2163352268420753,0.001506739493370374,0.29749643363984435,0.3420313832519451,0.041530358873767714,222,0.9847164870005587,0.026399102422677068,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,onset,-0.011414865952299602,0.004438082288047597,-2.5720266573338444,0.01080323898096106,0.14967789267468767,0.19489604664382312,0.015841356702836207,222,0.8360575643609559,0.10523903006321278,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,offset,0.0020472993610587686,0.0028842590266486743,0.709818134274022,0.4785920974288411,0.14200451301460404,0.1718228332251719,0.0016156900732393065,222,0.3089341510013544,0.05602770472066715,1.6102139276345042
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,duration,-0.003019858451796384,0.003425922145649256,-0.8814731693863644,0.3791247886832725,0.29874678617545236,0.3445946046953193,0.005206659043475559,214,0.34611682080342215,0.090125668800427,1.272304719935164
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,onset,0.01108146304237023,0.0033886820667196594,3.2701394890956537,0.0012645945381611178,0.14184464738597702,0.1895413393116645,0.04914947865092931,214,0.9867918882680768,0.04552081674859443,0
