order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC,sig_flag
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,duration,-8.138678288528155,11.242977242271666,-0.7238899548713948,0.46958615938445114,0.2168965847265225,0.23981400738406597,5.254511262021977e-4,386,0.27263609460124894,0.11336444931065559,1.962577981539198,not_significant
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,onset,32.7626659537703,10.56549275041358,3.1009122553690482,0.002076772680228188,0.20583123465997233,0.23464115833841398,0.019899951363238855,386,0.971749079760488,0.02591044890877886,0,significant
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,offset,23.485805461621798,5.159280338213132,4.55214757137153,7.1586974755294845e-6,0.14045562715570803,0.15163482953253554,0.03258342103299969,386,0.9999676893983073,0.44878944764291706,0,significant
Hymenoptera,Apidae,Bombus,Bombus impatiens,duration,30.428630541104173,13.601619438093119,2.2371329149148815,0.026026016382733663,0.10453307962841507,0.1299575608106633,0.022989529154972405,304,0.7780631056106768,0.36688675884015387,0,significant
Hymenoptera,Apidae,Bombus,Bombus impatiens,onset,-9.58465165474677,13.172769759248453,-0.7276109603310643,0.4674303146397484,0.03783478663645501,0.06561713003619996,0.003571263298990393,304,0.30854642501083757,0.15881282469599162,1.6138473877872457,not_significant
Hymenoptera,Apidae,Bombus,Bombus impatiens,offset,20.871110815095463,8.052698155872713,2.5918158623485064,0.010017411857926954,0.1292870788732281,0.1436754926387875,0.01572661658638591,304,0.9437405060173382,0.11242258830491159,0,significant
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,duration,64.66203638205623,20.13621418477982,3.211231058067099,0.001532333242927989,0.2908091048244601,0.33540824599732644,0.03490722162006349,222,0.9508839604872014,0.009766058732068539,0,significant
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,onset,-74.75936892084579,21.00637792990569,-3.5588890750372895,4.595070406737387e-4,0.11458159630199782,0.15000566445900188,-0.029049025482186963,222,0.4967034175219235,0.0035244413366807836,0.02637304197287449,significant
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,offset,6.418924599799833,13.793212942159757,0.4653683392489372,0.6421422766482839,0.1403409702061017,0.16993931791287273,-2.6782523905985456e-4,222,0.2792682477041391,0.058834138716569284,1.8961884746368014,not_significant
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,duration,-19.394066347611393,13.643954295034996,-1.4214402898336334,0.1567584525177029,0.3081120537967831,0.3554120413447382,0.016024095692894258,214,0.5696616786128468,0.07434189335690167,0,not_significant
