Species,Sample Size ,model,Estimate ,SE,t-value,p-value,GHMI_pval,adj_r2,Deviance Explained,Model Weight
Papilio glaucus,188.00,onset,22.61,11.29,2.00,0.047,0.046797112,0.21,0.25,0.57
Xylocopa virginica,151.00,onset,-43.88,20.57,-2.13,0.035,0.03461732,0.13,0.17,0.83
Apis mellifera,132.00,onset,-45.70,21.02,-2.17,0.032,0.031713039,0.41,0.47,0.52
Bombus griseocollis,58.00,onset,-36.27,14.98,-2.42,0.019,0.019059804,0.47,0.52,0.79
Papilio troilus,45.00,onset,63.60,19.44,3.27,<0.005,0.002253529,0.33,0.41,0.97
Bombus pensylvanicus,34.00,onset,49.94,22.65,2.20,0.038,0.038215457,0.61,0.74,0.36
Tetraopes tetrophthalmus,21.00,onset,-26.58,11.29,-2.35,0.034,0.033547579,0.58,0.70,0.69
Strymon melinus,20.00,onset,81.51,35.40,2.30,0.036,0.0357941,0.32,0.45,0.63
Eremnophila aureonotata,11.00,onset,-161.23,59.02,-2.73,0.029,0.029297217,0.38,0.56,1.00
Eristalis tenax,10.00,onset,147.38,47.77,3.08,0.024,0.024246757,0.80,0.88,1.00
Vespula squamosa,10.00,onset,-518.97,125.00,-4.15,0.006,0.006000467,0.75,0.83,1.00
Clogmia albipunctatus,9.00,onset,-380.73,59.61,-6.39,<0.005,0.001392734,0.87,0.92,0.98
Lambdina fervidaria,8.00,onset,-244.60,71.40,-3.43,0.027,0.026640646,0.82,0.89,0.00
Helicoverpa zea,6.00,onset,246.54,34.47,7.15,0.019,0.018992115,0.96,0.98,1.00
Bombus impatiens,190.00,offset,28.29,7.30,3.87,<0.005,1.49E-04,0.10,0.12,1.00
Papilio glaucus,188.00,offset,21.37,5.82,3.67,<0.005,3.13E-04,0.19,0.20,1.00
Danaus plexippus,149.00,offset,23.08,7.04,3.28,<0.005,0.00130251,0.43,0.45,0.99
Epargyreus clarus,117.00,offset,27.36,6.89,3.97,<0.005,1.29E-04,0.22,0.27,1.00
Phyciodes tharos,81.00,offset,33.11,13.00,2.55,0.013,0.012968993,0.16,0.23,0.90
Pieris rapae,60.00,offset,39.95,16.29,2.45,0.017,0.017445788,0.10,0.19,0.74
Hylephila phyleus,57.00,offset,-44.91,14.27,-3.15,<0.005,0.002698627,0.17,0.21,0.98
Pyrrharctia isabella,48.00,offset,81.01,27.83,2.91,0.006,0.005633802,0.17,0.23,0.97
Battus philenor,43.00,offset,62.00,16.91,3.67,<0.005,8.44E-04,0.49,0.59,0.98
Scopula limboundata,36.00,offset,66.70,23.20,2.88,0.008,0.007809504,0.42,0.55,0.72
Toxomerus marginatus,27.00,offset,111.04,46.64,2.38,0.036,0.036187875,0.87,0.95,0.00
Tetraopes tetrophthalmus,21.00,offset,-30.73,10.04,-3.06,0.008,0.007676694,0.52,0.63,0.91
Chauliognathus marginatus,20.00,offset,-26.10,10.12,-2.58,0.028,0.028082093,0.75,0.87,0.01
Noctua pronuba,10.00,offset,176.00,31.56,5.58,<0.005,0.00141175,0.80,0.86,0.99
Thorybes lyciades,8.00,offset,58.78,11.03,5.33,0.020,0.019836876,0.98,0.99,0.00
Scolia bicincta,7.00,offset,53.59,14.65,3.66,0.035,0.03529055,0.89,0.94,0.00
Limenitis arthemis,6.00,offset,77.80,11.80,6.59,0.022,0.02222931,0.94,0.98,1.00
Bombus impatiens,190.00,duration,28.45,12.91,2.20,0.029,0.028826557,0.08,0.11,0.71
Xylocopa virginica,151.00,duration,44.30,19.70,2.25,0.026,0.026028952,0.21,0.24,0.79
Apis mellifera,132.00,duration,50.00,25.19,1.98,0.049,0.049448609,0.34,0.39,0.77
Pyrrharctia isabella,48.00,duration,112.11,46.80,2.40,0.021,0.020921005,0.13,0.18,0.84
Papilio troilus,45.00,duration,-62.31,23.36,-2.67,0.011,0.011035696,0.22,0.30,0.90
Chauliognathus marginatus,20.00,duration,-32.87,14.66,-2.24,0.045,0.045058804,0.60,0.75,0.00
Noctua pronuba,10.00,duration,216.02,24.07,8.98,0.035,0.035133605,0.97,1.00,1.00
Clogmia albipunctatus,9.00,duration,452.51,52.63,8.60,<0.005,3.51E-04,0.93,0.95,1.00
Lambdina fervidaria,8.00,duration,397.55,110.69,3.59,0.030,0.029723072,0.84,0.92,0.00
