order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,onset,0.00804037213968548,0.00310903637259139,2.5861299695840514,0.010086293769278169,0.19943881361408566,0.22847874082419797,0.013737533849022737,386,0.8994675478891693,0.01653264549703043,0
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,offset,0.007490492086918879,0.0015710979995237331,4.767679730474844,2.659199348635498e-6,0.14472723432917578,0.15583906802367195,0.03678765952413539,386,0.9999877498533936,0.3315874021644289,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,offset,0.006050516423887413,0.0020570200643455225,2.941398836482663,0.003523644015831769,0.13502498178857114,0.14953818863490156,0.02158931258249977,304,0.9759816571396377,0.07457863830745187,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,duration,0.013539803062895142,0.004209698961071621,3.2163352268420753,0.001506739493370374,0.29749643363984435,0.3420313832519451,0.041530358873767714,222,0.9847164870005587,0.026399102422677068,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,onset,-0.011414865952299602,0.004438082288047597,-2.5720266573338444,0.01080323898096106,0.14967789267468767,0.19489604664382312,0.015841356702836207,222,0.8360575643609559,0.10523903006321278,0
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,onset,0.01108146304237023,0.0033886820667196594,3.2701394890956537,0.0012645945381611178,0.14184464738597702,0.1895413393116645,0.04914947865092931,214,0.9867918882680768,0.04552081674859443,0
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,offset,0.008177415816559064,0.001734873087922943,4.713552751198291,4.498987503116051e-6,0.4731285948738444,0.4945792621346823,0.05460563072359775,214,0.9999076811867719,0.0054364077487054074,0
Hymenoptera,Apidae,Apis,Apis mellifera,duration,0.013076121604685595,0.005632327804188577,2.3216194190546426,0.021446421310782986,0.29789535125401045,0.344256475551741,-0.003436622578628812,182,0.5705380056450506,0.043133692023134995,0
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,offset,0.005132992925657716,0.002473043063198785,2.075577656548523,0.03997870786990216,0.16487298473083123,0.23067114588431667,0.0575906312019569,137,0.7413817806590481,0.333889386415632,0
Lepidoptera,Papilionidae,Battus,Battus philenor,onset,0.025607345779569225,0.010318762845201475,2.481629451487722,0.015022584637185313,0.26373477615792107,0.34687499860933857,0.02324092002375472,98,0.8595304385360457,0.19995257557132967,0
