system:index,Bioregions,OBJECTID,OBJECTID_1,Shape_Area,Shape_Leng,pop_den_2000,pop_den_2005,pop_den_2010,pop_den_2015,pop_den_2020,grid_id
00000000000000000000,NA24,126,127,5.87464319123E11,5327422.291,24.868401237156082,27.297133881112803,29.963063882744834,32.88935798147451,36.101441072381064,1
00000000000000000001,NA24,126,127,5.87464319123E11,5327422.291,22.523074912584885,24.72275427014229,27.137261292377453,29.787578362524656,32.696732746275266,2
00000000000000000002,NA24,126,127,5.87464319123E11,5327422.291,32.909555914586335,36.12361380058751,39.65156730026143,43.524072600559286,47.774779710378844,3
00000000000000000003,NA24,126,127,5.87464319123E11,5327422.291,34.646496307977806,38.03019065665474,41.744346028093894,45.821238955150804,50.296295293436295,4
00000000000000000004,NA24,126,127,5.87464319123E11,5327422.291,27.94139819512001,30.67024970204063,33.665608415848176,36.95350484,40.562508328212296,5
00000000000000000005,NA24,126,127,5.87464319123E11,5327422.291,53.351739440963584,58.56225053810744,64.28163637917211,70.55959484191543,77.45068196356188,6
00000000000000000006,NA24,126,127,5.87464319123E11,5327422.291,22.78722291799455,25.012699758955122,27.45552425908631,30.136923060848797,33.08019610314534,7
00000000000000000007,NA24,126,127,5.87464319123E11,5327422.291,18.595018184493227,20.38524789894651,22.350365778032373,24.507451656638644,26.87525290210826,8
00000000000000000008,NA24,126,127,5.87464319123E11,5327422.291,15.601759474290805,15.57278573591458,15.543866165826007,15.514999890085045,15.486187379135853,9
00000000000000000009,NA24,126,127,5.87464319123E11,5327422.291,24.021726283273793,23.977116001664285,23.932588644083975,23.888144077140364,23.843781439369526,10
0000000000000000000a,NA24,126,127,5.87464319123E11,5327422.291,11.029258312950699,11.00877619085335,10.988331877688397,10.96792571198887,10.947557555779152,11
0000000000000000000b,NA24,126,127,5.87464319123E11,5327422.291,7.183350848918699,7.1823302499354424,7.185640017685627,7.193552737,7.2063781351645115,12
0000000000000000000c,NA24,126,127,5.87464319123E11,5327422.291,6.875091056345306,7.591889619165243,8.383421802533993,9.257479388397831,10.222666492156744,13
0000000000000000000d,NA24,126,127,5.87464319123E11,5327422.291,36.72464812513879,40.55356794915191,44.78169353888191,49.45064410754403,54.60637967108219,14
0000000000000000000e,NA24,126,127,5.87464319123E11,5327422.291,39.187124687194824,43.272783796691904,47.78441307525635,52.766429907226566,58.26787005615235,15
0000000000000000000f,NA24,126,127,5.87464319123E11,5327422.291,33.34818595250448,36.82507517593247,40.66446655,44.90415376169342,49.585872183811105,16
00000000000000000010,NA24,126,127,5.87464319123E11,5327422.291,38.39620259310741,42.399399875888356,46.81997124815654,51.70143331569875,57.091837092331936,17
