"","species","n_grid_cells","min_GHMI","max_GHMI","GHMI_range"
"1","Papilio glaucus",386,0.006,0.919,0.913
"2","Bombus impatiens",304,0.002,0.919,0.918
"3","Xylocopa virginica",222,0.006,0.919,0.913
"4","Danaus plexippus",214,0.006,0.882,0.876
"5","Apis mellifera",182,0.006,0.919,0.913
"6","Epargyreus clarus",137,0.006,0.919,0.913
"7","Atteva punctella",100,0.162,0.919,0.757
"8","Dione vanillae",100,0.002,0.919,0.918
"9","Battus philenor",98,0,0.88,0.88
"10","Phyciodes tharos",94,0.006,0.846,0.84
"11","Junonia coenia",85,0.006,0.919,0.913
"12","Elkalyce comyntas",70,0.006,0.846,0.84
"13","Hylephila phyleus",67,0.112,0.919,0.807
"14","Pieris rapae",66,0.048,0.869,0.821
"15","Bombus griseocollis",64,0.006,0.869,0.863
"16","Pyrrharctia isabella",60,0.048,0.831,0.782
"17","Lon zabulon",59,0.336,0.846,0.51
"18","Papilio troilus",57,0.007,0.831,0.823
"19","Bombus bimaculatus",55,0.088,0.869,0.782
"20","Speyeria cybele",54,0.006,0.831,0.824
"21","Papilio polyxenes",53,0.327,0.839,0.512
"22","Udea rubigalis",44,0.156,0.831,0.675
"23","Bombus pensylvanicus",39,0.211,0.919,0.709
"24","Costaconvexa centrostrigaria",39,0.156,0.808,0.653
"25","Scopula limboundata",39,0.127,0.681,0.554
"26","Vespula maculifrons",39,0.34,0.864,0.523
"27","Phoebis sennae",36,0.008,0.919,0.911
"28","Coccinella septempunctata",35,0.007,0.864,0.857
"29","Euptoieta claudia",34,0.006,0.839,0.833
"30","Toxomerus marginatus",32,0.255,0.839,0.584
"31","Abaeis nicippe",31,0.006,0.763,0.757
"32","Prochoerodes lineola",31,0.064,0.792,0.728
"33","Toxomerus geminatus",31,0.068,0.839,0.771
"34","Vanessa atalanta",30,0.002,0.869,0.868
"35","Pleuroprucha insulsaria",29,0.307,0.831,0.524
"36","Vanessa virginiensis",29,0.112,0.763,0.651
"37","Calycopis cecrops",27,0.241,0.808,0.567
"38","Alaus oculatus",26,0.068,0.808,0.74
"39","Lerema accius",26,0.112,0.919,0.807
"40","Protographium marcellus",26,0.112,0.665,0.553
"41","Urbanus proteus",26,0.112,0.919,0.807
"42","Tetraopes tetrophthalmus",25,0.048,0.839,0.79
"43","Chauliognathus pensylvanicus",23,0.255,0.831,0.575
"44","Cisseps fulvicollis",21,0.255,0.816,0.56
"45","Darapsa myron",21,0.13,0.67,0.54
"46","Polistes fuscatus",21,0.308,0.869,0.561
"47","Scolia dubia",21,0.255,0.869,0.614
"48","Chauliognathus marginatus",20,0.354,0.837,0.484
"49","Chlosyne nycteis",20,0.006,0.808,0.802
"50","Hemaris diffinis",20,0.354,0.792,0.438
"51","Marimatha nigrofimbria",20,0.156,0.692,0.536
"52","Strymon melinus",20,0.112,0.831,0.718
