"","species","n_grid_cells","min_GHMI","max_GHMI","GHMI_range"
"1","Papilio glaucus",386,0.001,3196.899,3196.898
"2","Bombus impatiens",304,0.003,3196.899,3196.896
"3","Xylocopa virginica",222,0.011,3196.899,3196.888
"4","Danaus plexippus",214,0.011,2797.994,2797.983
"5","Apis mellifera",182,0.011,3196.899,3196.888
"6","Epargyreus clarus",137,0.001,3196.899,3196.898
"7","Atteva punctella",100,4.579,3196.899,3192.319
"8","Dione vanillae",100,0.003,3196.899,3196.896
"9","Battus philenor",98,0,1617.21,1617.21
"10","Phyciodes tharos",94,0.011,2797.994,2797.983
"11","Junonia coenia",85,0.011,3196.899,3196.888
"12","Elkalyce comyntas",70,0.011,2277.308,2277.297
"13","Hylephila phyleus",67,2.864,3196.899,3194.035
"14","Pieris rapae",66,0.172,2797.994,2797.822
"15","Bombus griseocollis",64,0.011,2797.994,2797.983
"16","Pyrrharctia isabella",60,0.172,2797.994,2797.822
"17","Lon zabulon",59,10.46,2797.994,2787.534
"18","Papilio troilus",57,0.172,2797.994,2797.822
"19","Bombus bimaculatus",55,3.14,2360.16,2357.02
"20","Speyeria cybele",54,0.011,2797.994,2797.983
"21","Papilio polyxenes",53,15.983,2797.994,2782.011
"22","Udea rubigalis",44,4.579,2797.994,2793.415
"23","Bombus pensylvanicus",39,6.829,3196.899,3190.07
"24","Costaconvexa centrostrigaria",39,4.579,1617.21,1612.63
"25","Scopula limboundata",39,4.861,1063.199,1058.337
"26","Vespula maculifrons",39,10.46,2797.994,2787.534
"27","Phoebis sennae",36,0.055,3196.899,3196.844
"28","Coccinella septempunctata",35,0.021,2013.351,2013.33
"29","Euptoieta claudia",34,0.011,2211.477,2211.466
"30","Toxomerus marginatus",32,16.008,2797.994,2781.986
"31","Abaeis nicippe",31,0.011,1815.626,1815.615
"32","Prochoerodes lineola",31,1.52,1255.88,1254.36
"33","Toxomerus geminatus",31,2.8,2797.994,2795.194
"34","Vanessa atalanta",30,0.003,2797.994,2797.991
"35","Pleuroprucha insulsaria",29,10.46,2797.994,2787.534
"36","Vanessa virginiensis",29,2.864,1815.626,1812.762
"37","Calycopis cecrops",27,7.926,1513.658,1505.732
"38","Alaus oculatus",26,2.8,1815.626,1812.826
"39","Lerema accius",26,2.864,3196.899,3194.035
"40","Protographium marcellus",26,2.831,1063.199,1060.368
"41","Urbanus proteus",26,2.864,3196.899,3194.035
"42","Tetraopes tetrophthalmus",25,0.172,2797.994,2797.822
"43","Chauliognathus pensylvanicus",23,16.008,2797.994,2781.986
"44","Polistes metricus",22,42.396,1826.592,1784.196
"45","Cisseps fulvicollis",21,14.883,1692.193,1677.311
"46","Darapsa myron",21,4.196,1360.94,1356.744
"47","Polistes fuscatus",21,11.489,2797.994,2786.505
"48","Scolia dubia",21,16.008,2360.16,2344.152
"49","Chauliognathus marginatus",20,14.883,2797.994,2783.111
"50","Chlosyne nycteis",20,0.011,1513.658,1513.647
"51","Hemaris diffinis",20,14.883,1780.453,1765.57
"52","Hypoprepia fucosa",20,4.579,155.384,150.804
"53","Marimatha nigrofimbria",20,4.861,772.618,767.757
"54","Strymon melinus",20,2.864,2797.994,2795.13
